日期,账户波动,持仓,大周期,"仓位
建议","行情
种类",模式,指数,节点,高位,中位,小票亏效,大票亏效,一字,断板,"接力赚效
（>3%)","9点45打板
大面数","尾盘面数
","竞价
大面数","3分钟
大面数",持仓1,是否开仓,模式外,错误仓位,错误买点,错误卖点
2024/12/17,,,,,,,震荡开,冰点,不及预期,预期内,强,弱,减少,"少核心反核,大面数增加",,,,,,不及预期,不开,,,,
2024/12/18,,,,,,,大高开,中等局部修复,超预期,预期内,强,弱,减少,"多核心反核,大面数增加",,,,,,预期内,买入核心,,,,
2024/12/19,,,,,,,大低开,混沌,不及预期,预期内,强,弱,减少,"大面数减少,无明显反核",,,,,,预期内,不开,,,,
2024/12/20,,,,,,,震荡开,混沌,不及预期,预期内,强,弱,增加,"无明显反核,大面数增加",,,,,,,不开,,,,
2024/12/24,,,,,,,震荡开,弱修复,超预期,预期内,弱,弱,增加,"少核心反核,大面数减少",,,,,,,买入超预期,,,,
2024/12/25,,,,,,,震荡开,退潮,不及预期,不及预期,弱,弱,减少,多核心反核,,,,,,不及预期,不开,,,,
2024/12/26,,,,,,,震荡开,强修复,超预期,预期内,弱,弱,增加,"少核心反核,大面数增加",,,,,,,买入核心,,,,
2024/12/27,,,,,,,震荡开,反弹加速,预期内,预期内,弱,弱,增加,大面数增加,,,,,,超预期,不开,,,,
2024/12/30,,,,,,,震荡开,反弹加速转衰竭,超预期,预期内,弱,弱,减少,"少核心反核,大面数增加",,,,,,,不开,,,,
2024/12/31,,,,,,,震荡开,弱修复,预期内,预期内,强,弱,减少,"多核心反核,大面数减少",,,,,,,"买入核心,买入超预期",,,,
2025/1/2,,,,,,,震荡开,主升,预期内,预期内,强,弱,增加,"少核心反核,大面数增加",,,,,,超预期,买入核心,,,,
2025/1/3,,,,,,,震荡开,退潮,不及预期,预期内,强,弱,增加,"多核心反核,大面数减少",,,,,,超预期,买入核心,,,,
2025/1/6,,,,,,,震荡开,退潮,预期内,不及预期,强,弱,减少,"多核心反核,大面数减少",,,,,,预期内,不开,,,,
2025/1/7,,,,,,,震荡开,中等局部修复,预期内,不及预期,强,弱,减少,"多核心反核,大面数减少",,,,,,预期内,买入超预期,,,,
2025/1/8,,,,,,,大低开,龙头确认,预期内,预期内,弱,弱,增加,"多核心反核,大面数减少",,,,,,,买入核心,,,,
2025/1/9,,,,,,,大低开,加速,超预期,超预期,弱,弱,增加,"大面数减少,无明显反核",,,,,,预期内,买入核心,,,,
2025/1/10,,,,,,,震荡开,退潮,不及预期,不及预期,强,弱,减少,"少核心反核,无大面",,,,,,,不开,,,,
2025/1/13,,,,,,,大低开,退潮,预期内,预期内,弱,弱,减少,"少核心反核,大面数增加",,,,,,,买入核心,,,,
2025/1/14,,,,,,,震荡开,强修复,预期内,超预期,弱,弱,增加,"多核心反核,大面数减少",,,,,,预期内,买入核心,,,,
2025/1/15,,,,,,,震荡开,高潮,预期内,预期内,弱,弱,增加,"无明显反核,无大面",,,,,,预期内,,,,,
2025/1/16,,,,,,,大高开,中等局部修复,预期内,预期内,弱,弱,增加,"无明显反核,无大面",,,,,,,买入超预期,,,,
2025/1/17,,,,,,,大低开,退潮,预期内,预期内,弱,弱,减少,"少核心反核,大面数增加",,,,,,,买入超预期,,,,
2025/1/20,,,,,,,大低开,退潮,预期内,预期内,弱,弱,减少,"少核心反核,大面数增加",,,,,,预期内,不开,,,,
2025/1/21,,,,,,,大高开,退潮,预期内,预期内,弱,弱,减少,"少核心反核,大面数减少",,,,,,,买入试错,,,,
2025/1/22,,,,,,,大低开,龙头确认,超预期,预期内,强,弱,减少,"无明显反核,大面数增加",,,,,,,买入核心,,,,
2025/1/23,,,,,,,大高开,退潮,不及预期,预期内,弱,弱,增加,"无明显反核,大面数增加",,,,,,不及预期,不开,,,,
2025/1/24,,,,,,,震荡开,中等局部修复,预期内,预期内,强,弱,减少,"无明显反核,大面数增加",,,,,,预期内,,,,,
2025/1/27,,,,,,,,退潮,,,,,,,,,,,,,,,,,
2025/2/5,,,,,,,大高开,退潮加速,不及预期,预期内,强,强,增加,"少核心反核,大面数增加",,,,,,预期内,不开,,,,
2025/2/6,,,,,,,震荡开,强修复,超预期,预期内,弱,弱,减少,"少核心反核,大面数减少",,,,,,预期内,买入核心,,,,
2025/2/7,,,,,,,震荡开,加速,预期内,预期内,弱,弱,增加,"少核心反核,无大面",,,,,,预期内,,,,,
2025/2/10,,,,,,,震荡开,高潮,预期内,预期内,弱,弱,减少,"少核心反核,无大面",,,,,,,买入超预期,,,,
2025/2/11,,,,,,,大高开,日内分歧转一致,预期内,预期内,弱,弱,减少,"少核心反核,无大面",,,,,,超预期,"买入核心,买入超预期",,,,
2025/2/12,,,,,,,震荡开,日内分歧转一致,预期内,预期内,弱,弱,减少,"多核心反核,无大面",,,,,,,买入核心,,,,
2025/2/13,,,,,,,震荡开,9板以上补涨加速期,不及预期,预期内,弱,弱,减少,"少核心反核,无大面",,,,,,不及预期,不开,,,,
2025/2/14,,,,,,,震荡开,9板以上补涨加速期,预期内,预期内,强,弱,减少,"少核心反核,大面数增加",,,,,,,买入核心,,,,
2025/2/17,,,,,,,大高开,退潮,预期内,超预期,弱,弱,增加,"多核心反核,大面数减少",,,,,,,,,,,
2025/2/18,,,,,,,震荡开,退潮加速,不及预期,不及预期,强,强,减少,"少核心反核,大面数增加",,,,,,,不开,,,,
2025/2/19,,,,,,,震荡开,中等局部修复,预期内,预期内,强,弱,减少,"少核心反核,大面数减少",,,,,,,买入核心,,,,
2025/2/20,,,,,,,震荡开,加速,预期内,预期内,弱,弱,增加,"大面数减少,无明显反核",,,,,,不及预期,不开,,,,
2025/2/21,,,,,,,大高开,日内分歧转一致,预期内,预期内,弱,弱,增加,"少核心反核,无大面",,,,,,,不开,,,,
2025/2/24,,,,,,,震荡开,退潮,不及预期,预期内,强,强,增加,"少核心反核,大面数增加",,,,,,,不开,,,,
2025/2/25,,,,,,,大低开,退潮中继,预期内,预期内,强,强,减少,"无明显反核,大面数增加",,,,,,,买入超预期,,,,
2025/2/26,,,,,,,"大高开,震荡开",强修复,预期内,预期内,弱,弱,减少,"多核心反核,无大面",,,,,,超预期,买入超预期,,,,
2025/2/27,,,,,,,震荡开,日内分歧转一致,预期内,预期内,弱,弱,增加,"多核心反核,无大面",,,,,,,买入核心,,,,
2025/2/28,,,,,,,大低开,冰点,不及预期,不及预期,弱,弱,增加,"少核心反核,大面数增加",,,,,,预期内,不开,,,,
2025/3/3,,,,,,,大高开,退潮转衰竭,超预期,不及预期,强,弱,增加,"少核心反核,大面数增加",,,,,,,买入核心,,,,
2025/3/4,1.99%,,,,,,大低开,修复--中等,预期内,预期内,强,弱,减少,"少核心反核,大面数增加",,,,,,,买入试错,,,,
2025/3/5,0.78%,,,,,,震荡开,修复--加速,超预期,预期内,弱,弱,减少,"少核心反核,大面数减少",,,,,,,买入超预期,,,,
2025/3/6,,,,,,,大高开,修复--高潮,预期内,超预期,弱,弱,增加,"多核心反核,大面数减少",,,,,,,买入核心,,,,
2025/3/7,-2.91%,,,,,,大低开,退潮,预期内,不及预期,强,弱,减少,"少核心反核,大面数增加",,,,,,,不开,,,,
2025/3/10,,,,,,,震荡开,修复--弱,预期内,预期内,强,弱,增加,"多核心反核,大面数减少",,,,,,超预期,不开,,,,
2025/3/11,3.66%,,,,,,大低开,修复--中等,超预期,超预期,弱,弱,减少,"少核心反核,大面数增加",,,,,,超预期,买入超预期,,,,
2025/3/12,3.64%,,,,,,大高开,反弹加速转衰竭,预期内,预期内,弱,弱,增加,"少核心反核,无大面",,,,,,预期内,买入试错,,,,
2025/3/13,8.06%,,,,,,震荡开,"退潮,日内分歧转一致",超预期,不及预期,弱,弱,减少,"多核心反核,大面数增加",,,,,,,不开,,,,
2025/3/14,-8.61%,,,,,,震荡开,退潮转衰竭,不及预期,不及预期,强,弱,减少,"少核心反核,大面数减少",,,,,,不及预期,不开,,,,
2025/3/17,-4.22%,,,,,,大高开,修复--弱,超预期,不及预期,弱,弱,增加,"大面数减少,无明显反核",,,,,,,买入试错,,,,
2025/3/18,-2.68%,,,,,,大高开,日内分歧转一致,预期内,预期内,强,弱,增加,"少核心反核,大面数减少",,,,,,超预期,买入核心,,,,
2025/3/19,,,,,,,大低开,混沌分歧,预期内,预期内,弱,弱,增加,"无明显反核,无大面",,,,,,,不开,,,,
2025/3/20,,,,,,,震荡开,修复--中等,超预期,预期内,弱,弱,减少,"无明显反核,无大面",,,17,,,,买入超预期,,,,
2025/3/21,2.23%,,,,,,震荡开,退潮,不及预期,预期内,弱,弱,增加,"少核心反核,大面数增加",,,140,,,,不开,,,,
2025/3/24,-5.12%,,,,,,震荡开,退潮,预期内,不及预期,强,弱,增加,"少核心反核,大面数增加",,,164,,,不及预期,买入试错,,,,
2025/3/25,-11.74%,,,,,,震荡开,退潮转衰竭,不及预期,预期内,强,弱,减少,"少核心反核,大面数增加",,,118,,,,"不开,买入试错",,,,
2025/3/26,-7.06%,,,,,,震荡开,修复--中等,超预期,预期内,强,弱,增加,"多核心反核,大面数减少",,,15,,,预期内,,,,,
2025/3/27,5.73%,,,,,,震荡开,退潮,不及预期,不及预期,强,弱,减少,"少核心反核,大面数增加",,,68,,,预期内,不开,,,,
2025/3/28,-4.16%,,,,,,震荡开,退潮,不及预期,预期内,强,弱,减少,"少核心反核,大面数增加",,,87,,,不及预期,,,,,
2025/3/31,,,,,,,大低开,退潮转衰竭,超预期,预期内,强,弱,减少,"少核心反核,大面数增加",,,88,,,,买入超预期,,,,
2025/4/1,5.60%,,,,,,大高开,修复--中等,预期内,预期内,强,弱,减少,"多核心反核,大面数减少",,,16,,,,买入超预期,,,,
2025/4/2,5.02%,,,,,,大低开,混沌分歧,超预期,不及预期,弱,弱,增加,"少核心反核,大面数减少",,,24,,,超预期,买入超预期,,,,
2025/4/3,-2.62%,,,,,,大低开,修复--弱,预期内,预期内,弱,弱,减少,"少核心反核,大面数增加",,,81,,,,买入超预期,,,,
2025/4/7,-9.53%,,,,,,大低开,冰点,预期内,预期内,强,强,减少,"无明显反核,大面数增加",,,4110,,,预期内,,,,,
2025/4/8,6.79%,,,,,,大低开,修复--中等,预期内,超预期,强,强,增加,"多核心反核,大面数减少",,,415,,,,买入核心,,,,
2025/4/9,-4.20%,,,,,,大低开,日内分歧转一致,预期内,预期内,强,强,增加,"少核心反核,大面数增加",,,16,,,不及预期,买入试错,,,,
2025/4/10,,,,,,,大高开,主升--确认,预期内,预期内,弱,弱,增加,"少核心反核,无大面",,,2,,,,买入核心,,,,
2025/4/11,-12.27%,,,,,,震荡开,主升--分歧,预期内,不及预期,弱,弱,增加,"少核心反核,大面数增加",,,33,,,,不开,,,,
2025/4/14,-5.91%,,,,,,大高开,修复--中等,预期内,预期内,强,弱,减少,"少核心反核,大面数增加",,,7,,,预期内,买入核心,,,,
2025/4/15,,,,,,,震荡开,退潮,超预期,预期内,弱,弱,减少,"多核心反核,无大面",,,32,,,,不开,,,,
2025/4/16,,,,,,,震荡开,修复--中等,超预期,预期内,强,弱,增加,"少核心反核,无大面",,,33,,,,买入试错,,,,
2025/4/17,3.11%,,,,,,大低开,主升-延续,预期内,预期内,强,弱,减少,"少核心反核,无大面",,,9,,,,买入核心,,,,
2025/4/18,,,,,,,大低开,主升--分歧,预期内,不及预期,弱,弱,增加,"少核心反核,大面数增加",,,67,,,预期内,不开,,,,
2025/4/21,,,,,,,震荡开,修复--中等,预期内,预期内,强,弱,减少,"少核心反核,大面数减少",,,17,,,预期内,买入核心,,,,
2025/4/22,4.41%,,,,,,震荡开,日内分歧转一致,预期内,预期内,弱,弱,增加,"多核心反核,大面数增加",,,37,,,,买入核心,,,,
2025/4/23,-7.70%,,,,,,震荡开,主升--分歧,不及预期,不及预期,强,弱,减少,"少核心反核,大面数增加",,,55,,,不及预期,不开,,,,
2025/4/24,4.64%,,,,,,"震荡开,缩量",修复--中等,超预期,预期内,强,弱,增加,"少核心反核,大面数增加",,,47,,,,不开,,,,
2025/4/25,4.85%,,,,,,"震荡开,缩量",主升--分歧,预期内,预期内,弱,弱,减少,"少核心反核,大面数增加",,,51,,,预期内,不开,,,,
2025/4/28,-6.30%,,,,,,"震荡开,放量",退潮,预期内,预期内,强,弱,增加,"多核心反核,大面数增加",,,159,,,,不开,,,,
2025/4/29,-9.00%,,,,,,"大低开,缩量",修复--弱,预期内,预期内,强,弱,减少,"少核心反核,大面数减少",,,66,,,预期内,买入核心,,,,
2025/4/30,-2.20%,,,,,,"震荡开,放量",混沌,超预期,预期内,弱,弱,增加,"多核心反核,大面数减少",,,40,,,,买入超预期,,,,
2025/5/6,-3.00%,茂业,,,,,"大高开,放量",修复--强,预期内,预期内,强,弱,增加,"少核心反核,大面数减少",,,10,,,预期内,买入超预期,,,,
2025/5/7,,,,,,,"大高开,放量",日内分歧转一致,预期内,预期内,弱,弱,增加,"多核心反核,无大面",,,0,,,,买入核心,,,,
2025/5/8,-4.00%,恒天,,,,,"大低开,缩量",主升--分歧,不及预期,预期内,弱,弱,减少,"少核心反核,大面数增加",,,13,,,,不开,,,,
2025/5/9,,,,,,,"震荡开,放量",混沌,超预期,预期内,强,弱,增加,"多核心反核,大面数减少",,,8,,,超预期,不开,,,,
2025/5/12,-1.80%,利君,,,,,"大高开,放量",修复--强,超预期,预期内,弱,弱,增加,"少核心反核,大面数增加",,,6,,,预期内,买入核心,,,,
2025/5/13,,,,,,,"大高开,缩量",主升--加速,超预期,预期内,弱,弱,增加,"多核心反核,无大面",,,17,,,,买入核心,,,,
2025/5/14,,,,,,,"震荡开,缩量",主升--高潮,预期内,预期内,弱,弱,减少,"多核心反核,大面数减少",,,7,,,,买入核心,,,,
2025/5/15,,,,,,,"震荡开,放量",主升--分歧,预期内,预期内,弱,弱,增加,"少核心反核,无大面",,,31,0,,,买入核心,,,,
2025/5/16,,,,,,,"震荡开,缩量",主升--延续,预期内,预期内,弱,弱,减少,"少核心反核,无大面",,,12,3,,预期内,买入核心,,,,
2025/5/19,,,,,,,"震荡开,放量",日内分歧转一致,不及预期,超预期,强,弱,增加,"少核心反核,大面数增加",,,8,8,,超预期,买入核心,,,,
2025/5/20,5.58%,中毅达,,,,,"震荡开,缩量",主升--分歧,预期内,预期内,弱,弱,增加,"少核心反核,无大面",,,20,0,,预期内,不开,,,,
2025/5/21,-2.90%,保变,,,,,"震荡开,放量",退潮,预期内,预期内,弱,弱,增加,"多核心反核,大面数增加",,,32,5,,,不开,,,,
2025/5/22,-3.00%,综艺，保变,,,,,"大低开,缩量",退潮,不及预期,预期内,强,弱,减少,"少核心反核,大面数减少",,,52,11,,预期内,买入试错,,,,
2025/5/23,-4.48%,综艺,,,,,"震荡开,缩量",修复--弱,超预期,预期内,强,弱,减少,"少核心反核,大面数增加",,,42,5,,预期内,不开,,,,
2025/5/26,,,,,,,"震荡开,放量",混沌,预期内,预期内,弱,弱,减少,"少核心反核,大面数减少",,,14,5,,,不开,,,,
2025/5/27,0.60%,中超,,,,,"震荡开,缩量",修复--中等,预期内,预期内,弱,弱,增加,"少核心反核,无大面",,,5,2,,,买入核心,,,,
2025/5/28,-1.00%,中超,,,,,"震荡开,放量",混沌分歧,预期内,预期内,弱,弱,减少,"少核心反核,无大面",,,35,0,,不及预期,不开,,,,
2025/5/29,2.33%,中超,,,,,"震荡开,缩量",修复--中等,超预期,预期内,弱,弱,减少,"少核心反核,大面数增加",,,15,5,,超预期,买入超预期,,,,
2025/5/30,,,,,,,"震荡开,放量",退潮,不及预期,预期内,弱,弱,增加,"少核心反核,大面数增加",,,94,6,,,不开,,,,
2025/6/3,,海联,,,,,"大低开,放量",修复--中等,预期内,预期内,强,弱,减少,"多核心反核,大面数减少",,,12,15,,,买入核心,,,,
2025/6/4,-2.70%,海联,,,,,"震荡开,缩量",混沌,预期内,预期内,弱,弱,减少,"多核心反核,大面数减少",,,21,7,,不及预期,不开,,,,
2025/6/5,,万邦,,,,,"震荡开,放量",混沌,预期内,超预期,弱,弱,减少,"多核心反核,无大面",,,41,1,,,不开,,,,
2025/6/6,1%,万邦,,,,,"大高开,放量",混沌,预期内,超预期,弱,弱,增加,"多核心反核,无大面",,,35,4,,预期内,不开,,,,
2025/6/9,,联化,,,,,"大高开,缩量",修复--强,超预期,预期内,弱,弱,增加,"多核心反核,无大面",,,4,1,,,买入核心,,,,
2025/6/10,6.80%,联化,,,,,"大高开,缩量",日内分歧转一致,预期内,预期内,弱,弱,增加,"少核心反核,无大面",,,28,2,,预期内,不开,,,,
2025/6/11,-11.50%,联化,,,,,"震荡开,放量",退潮,超预期,预期内,弱,弱,增加,"少核心反核,无大面",,,31,2,,,不开,,,,
2025/6/12,-1.00%,联化,,,,,"震荡开,缩量",修复--中等,超预期,预期内,强,弱,减少,"多核心反核,大面数减少",,,,2,7,预期内,买入试错,,,,
2025/6/13,-5.00%,厦门,,,,,"大低开,放量",退潮,不及预期,预期内,强,弱,减少,"少核心反核,大面数增加",,,84,9,15,,买入试错,,,,
2025/6/16,1.00%,厦门,,,,,"大低开,缩量",修复--中等,预期内,预期内,强,弱,增加,"少核心反核,大面数增加",,,19,6,12,超预期,买入核心,,,,
2025/6/17,,金牛,,,,,"震荡开,缩量",混沌,不及预期,预期内,弱,弱,增加,"少核心反核,无大面",,,42,2,,,买入试错,,,,
2025/6/18,3.80%,山东,,,,,"震荡开,缩量",混沌,预期内,预期内,弱,弱,减少,"少核心反核,大面数减少",,,40,3,8,超预期,买入超预期,,,,
2025/6/19,3.52%,山东,,,,,"大低开,放量",退潮,预期内,预期内,弱,弱,减少,"多核心反核,无大面",,,78,5,9,不及预期,不开,,,,
2025/6/20,3.24%,山东,,,,,"震荡开,缩量",修复--弱,预期内,预期内,强,弱,减少,"无明显反核,大面数增加",,,66,8,18,预期内,买入试错,,,,
2025/6/23,,,,,,,"大低开,放量",修复--强,预期内,预期内,强,弱,增加,"多核心反核,大面数增加",,,6,10,7,,买入核心,,,,
2025/6/24,,新亚强,,,,,"震荡开,放量",主升--确认,不及预期,预期内,强,弱,减少,"少核心反核,大面数增加",,,40,36,39,,买入试错,,,,
2025/6/25,7.17%,新亚强,,,,,"震荡开,放量",主升--高潮,预期内,预期内,弱,弱,增加,"少核心反核,大面数减少",,,21,10,14,预期内,买入试错,,,,
2025/6/26,,大东南,,,,,"大低开,放量",主升--加速,预期内,预期内,弱,弱,增加,"少核心反核,大面数减少",,,17,5,16,,买入核心,,,,
2025/6/27,3.60%,大东南,,,,,"震荡开,缩量",修复--中等,不及预期,预期内,弱,弱,增加,"多核心反核,大面数减少",,,17,2,4,超预期,买入核心,,,,
2025/6/30,,时代,,,,,"大高开,缩量",主升--延续,超预期,预期内,弱,弱,减少,"少核心反核,大面数增加",,,8,7,11,,"买入核心,买入试错",,,,
2025/7/1,3.35%,时代,,,,,"震荡开,缩量",主升--分歧,预期内,不及预期,弱,弱,增加,"多核心反核,无大面",,,22,0,4,不及预期,买入试错,,,,
2025/7/2,,雪迪龙,,,,,"震荡开,放量",退潮,预期内,预期内,弱,弱,增加,"少核心反核,大面数减少",,,50,5,13,,买入试错,,,,
2025/7/3,2.71%,雪迪龙,,,,,"震荡开,缩量",修复--中等,超预期,预期内,弱,弱,增加,"少核心反核,大面数增加",,,15,7,10,超预期,买入核心,,,,
2025/7/4,-2.56%,亿光,,,,,"震荡开,放量",退潮,预期内,不及预期,弱,弱,增加,"多核心反核,大面数增加",,,41,3,6,,不开,,,,
2025/7/7,-2.70%,亿光,,,,,"震荡开,放量",修复--中等,预期内,预期内,弱,弱,增加,"多核心反核,大面数减少",5%,,18,6,10,预期内,买入试错,,,,
2025/7/8,-2.8,韶能,,,,,"震荡开,放量",主升--确认,超预期,预期内,弱,弱,增加,"多核心反核,大面数减少",4%,,8,3,6,,买入核心,,,,
2025/7/9,1%,日发,,,,,"震荡开,放量",主升--高潮,超预期,预期内,弱,弱,增加,"少核心反核,无大面",5%,,8,2,3,预期内,买入核心,,,,
2025/7/10,-1.5,拓日,,,,,"震荡开,缩量",主升--分歧,预期内,预期内,弱,弱,减少,"少核心反核,大面数增加",5%,,33,3,10,不及预期,买入核心,,,,
2025/7/11,,华媒,,,,,"大高开,放量",修复--弱,不及预期,超预期,弱,弱,增加,"少核心反核,大面数增加",5%,,,1,10,预期内,不开,,,,
2025/7/14,-1.50%,华媒,,,,,"大高开,放量",混沌,预期内,预期内,强,弱,增加,"多核心反核,大面数减少",2,,26,7,8,不及预期,不开,,,,
2025/7/15,,兰生,,,,,"震荡开,缩量",退潮,预期内,预期内,强,弱,减少,"少核心反核,大面数增加",1.7,,49,15,29,,买入试错,,,,
2025/7/16,,兰生,,,,,"震荡开,缩量",修复--中等,超预期,预期内,弱,弱,增加,"少核心反核,大面数减少",3,,,3,13,超预期,,,,,
2025/8/11,-8.90%,青松,,,,,"震荡开,放量",修复--中等,超预期,预期内,弱,弱,增加,"多核心反核,大面数减少",1.8,,,3,7,预期内,买入试错,,,,
2025/8/12,-3.30%,北纬,,,,,"震荡开,缩量",日内分歧转一致,不及预期,预期内,弱,弱,减少,"多核心反核,大面数减少",3.2,,10,3,5,预期内,买入核心,,,,
2025/8/13,4.00%,北纬,,,,,"震荡开,放量",主升--高潮,预期内,预期内,弱,弱,增加,"多核心反核,无大面",5.5,,,3,1,超预期,买入核心,,,,
2025/8/14,3.00%,吉视,,,,,"震荡开,放量",主升--分歧,预期内,超预期,强,弱,增加,"多核心反核,无大面",1,,70,3,12,预期内,不开,,,,
2025/8/15,,中粮,,,,,震荡开,修复--中等,预期内,预期内,强,弱,减少,"多核心反核,大面数减少",4.6,,10,3,4,预期内,买入试错,,,,
2025/8/18,6.80%,中粮,,,,,"大高开,放量",加速,预期内,预期内,弱,弱,增加,"多核心反核,无大面",5,,5,2,7,超预期,买入核心,,,,
2025/8/19,4.90%,中粮,,,,,"震荡开,缩量",日内分歧转一致,不及预期,预期内,弱,弱,减少,"多核心反核,无大面",4.8,,24,0,6,预期内,买入试错,,,,
2025/8/20,,金田,,,,,"大低开,缩量",退潮,预期内,超预期,强,弱,减少,"少核心反核,大面数增加",0.5,,43,7,23,,不开,,,,
2025/8/21,-6.00%,金田,,,,,"大高开,放量",修复--弱,超预期,超预期,弱,弱,增加,"少核心反核,无大面",-0.5,,44,0,12,预期内,不开,,,,
2025/8/22,,科森,,,,,"震荡开,缩量",修复--中等,超预期,超预期,弱,弱,增加,"多核心反核,无大面",5,,4,2,2,,买入核心,,,,
2025/8/25,-7.00%,科森，川润,,,,,"大高开,放量",日内分歧转一致,预期内,预期内,弱,弱,增加,"多核心反核,无大面",2.5,,13,0,8,预期内,买入核心,,,,
2025/8/26,-3%,腾龙,,,,,"大低开,缩量",主升--分歧,预期内,预期内,弱,弱,减少,"多核心反核,大面数增加",4,,26,4,8,超预期,,,,,
2025/8/27,-3%,合力泰,,,,,"震荡开,缩量",退潮,预期内,预期内,弱,弱,减少,"多核心反核,大面数增加",2.5,,54,3,7,预期内,不开,,,,
2025/8/28,-3%,拓维,,,,,"震荡开,缩量",日内分歧转一致,预期内,预期内,强,弱,减少,"少核心反核,大面数增加",3.5,,16,6,6,预期内,买入核心,,,,
2025/8/29,,三维,,,,,"震荡开,放量",退潮,预期内,预期内,弱,弱,增加,"少核心反核,大面数增加",6.3,,41,0,,预期内,买入试错,,,,
2025/9/1,2.50%,三维,,,,,"大高开,放量",修复--中等,预期内,预期内,强,弱,减少,"多核心反核,大面数增加",3,,12,1,8,超预期,不开,,,,
2025/9/2,-10%,汇绿,,,,,"震荡开,缩量",退潮,预期内,超预期,强,弱,减少,"少核心反核,大面数增加",2,,120,1,30,不及预期,不开,,,,
2025/9/3,-2%,岩山,,,,,"大高开,缩量",退潮,预期内,不及预期,弱,弱,增加,"少核心反核,大面数减少",2.5,,83,5,,超预期,不开,,,,
2025/9/4,-1.50%,美邦，春兴,,,,,"大低开,缩量",退潮,不及预期,超预期,弱,弱,减少,"多核心反核,大面数减少,大面数增加",1.5,,109,3,11,不及预期,买入试错,,,,
2025/9/5,-6%,美邦，春兴,,,,,"大低开,缩量",修复--中等,预期内,预期内,强,弱,减少,"少核心反核,大面数减少",3,,,8,16,不及预期,买入超预期,,,,
2025/9/8,2.70%,露笑,,,,,"震荡开,放量",混沌,预期内,预期内,弱,弱,增加,"少核心反核,大面数减少",4,,18,8,3,超预期,买入核心,,,,
2025/9/9,-1.40%,,,,,,"大低开,缩量",短线情绪确认,超预期,预期内,弱,弱,减少,"少核心反核,大面数减少",3,,33,2,6,预期内,买入超预期,,,,
